VMV_CODE,VARIABLE_CODE,VARIABLE,VARIABLE_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,UNIT_UNITÉ,UNIT_NAME,UNITÉ_NOM,METHOD_CODE,METHOD_TITLE,MÉTHODE_TITRE
"100300","475","CARBON DISSOLVED INORGANIC","CARBONE INORGANIQUE DISSOUS","CARBON","CARBONE","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2658","INORGANIC CARBON DETERMINED BY INFRARED ANALYSIS.","CARBONE INORGANIQUE DÉTERMINÉ PAR ANALYSE INFRAROUGE"
"100305","2653","NITRITE AND NITRATE UNFILTERED","NITRITES ET NITRATES NON FILTRÉS","NITROGEN","AZOTE","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2669","UNFILTERED NITRATE AND NITRITE DETERMINED BY COLOURIMETRY ON TRAACS 800 AUTOANALYSER","NITRITES ET NITRATES NON-FILTRÉS DÉTERMINÉS PAR COLORIMÉTRIE SUR AUTO-ANALYSEUR TRAACS 800"
"100307","2655","AMMONIA UNFILTERED","AZOTE AMMONIACAL NON FILTRÉ","NITROGEN","AZOTE","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2670","UNFILTERED AMMONIA DETERMINED BY COLOURIMETRY ON TRAACS 800 AUTOANALYSER","AZOTE AMMONIACAL NON-FILTRÉ DÉTERMINÉ PAR COLORIMÉTRIE SUR AUTO-ANALYSEUR TRAACS 800"
"101946","2768","POTASSIUM UNFILTERED","POTASSIUM NON FILTRÉ","MAJOR IONS","IONS MAJEURS","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2855","ANALYSIS OF POTASSIUM AND SODIUM IN UNFILTERED SAMPLES BY AAS","ANALYSE DU POTASSIUM ET DU SODIUM DANS DES ÉCHANTILLONS NON-FILTRÉS PAR AAS"
"101947","2769","SODIUM UNFILTERED","SODIUM NON FILTRÉ","MAJOR IONS","IONS MAJEURS","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2855","ANALYSIS OF POTASSIUM AND SODIUM IN UNFILTERED SAMPLES BY AAS","ANALYSE DU POTASSIUM ET DU SODIUM DANS DES ÉCHANTILLONS NON-FILTRÉS PAR AAS"
"102206","1022","DIBROM OR NALED","DIBROME OU NALED","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102207","172","PHORATE","PHORATE","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102208","234","DIMETHOATE OR PHOSPHAMIDE","DIMÉTHOATE OU PHOSPHAMIDE","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102209","1023","TERBUFOS","TERBUFOS","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102210","326","FONOFOS","FONOFOS","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102211","189","DIAZINON","DIAZINON","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102212","174","DISULFOTON","DISULFOTON","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102213","98","MALATHION","MALATHION","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102214","1024","DURSBAN OR CHLOPYRIFOS","DURSBAN OU CHLOPYRIFOS","PESTICIDES","PESTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102215","218","PARATHION ETHYL OR PARATHION","ÉTHYLE PARATHION OU PARATHION","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102216","221","ETHION","ÉTHION","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102217","265","PHOSMET TOTAL","PHOSMET TOTAL","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102218","302","AZINPHOS-METHYL","AZINPHOS-MÉTHYL","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"103640","2722","CLOPYRALID","CLOPYRALIDE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103641","134","DICAMBA","DICAMBA","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103642","322","MCPA","MCPA","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103643","3044","2-(2,4-DICHLOROPHENOXY)-PROPIONIC ACID","ACIDE 2-(2,4-DICHLOROPHÉNOXY)PROPANOIQUE","PESTICIDES","PESTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103644","203","2,3,6-TBA","2,3,6-TBA","PESTICIDES","PESTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103645","323","2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)","ACIDE 2,4-DICHLOROPHÉNOXYACÉTIQUE (2,4-D)","PESTICIDES","PESTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103646","128","BROMOXYNIL","BROMOXYNIL","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103647","3041","2,3-DICHLOROPHENOXYACETIC ACID (2,3-D)","2,3-ACIDE DICHLOROPHÉNOXYACÉTIQUE (2,3-D)","SURROGATE","SURROGATE","%","PERCENT","POURCENTAGE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103648","317","FENOPROP OR SILVEX OR 2,4,5-TP","FÉNOPROP OU SILVEX OU 2,4,5-TP","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103649","318","2,4,5-TRICHLOROPHENOXYACITIC ACID (2,4,5-T)","2,4,5-ACIDE TRICHLOROPHÉNOXYACÉTIQUE (2,4,5-T)","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103650","324","MCPB","MCPB","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103651","325","2,4-D BUTYRIC ACID (2,4-DB)","2,4-D ACIDE BUTYRIQUE (2,4-DB)","PESTICIDES","PESTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103652","3354","IMAZAMETHABENZ-METHYL(A)","IMAZAMÉTHABENZ-MÉTHYLE(A)","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103653","3355","IMAZAMETHABENZ-METHYL(B)","IMAZAMÉTHABENZ-MÉTHYLE(B)","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103654","135","PICLORAM","PICLORAME","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"103655","3042","BUTYLATE","BUTILATE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103656","1018","D-ETHYL SIMAZINE","DÉSÉTHYL SIMAZINE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103657","1019","DESETHYL ATRAZINE","DÉSÉTHYL ATRAZINE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103658","122","TRIFLURALIN","TRIFLURALINE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103659","3050","DIALLATE I","DIALLATE I","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103660","3051","DIALLATE II","DIALLATE II","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103661","100","SIMAZINE","SIMAZINE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103662","133","ATRAZINE","ATRAZINE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103663","162","TRIALLATE","TRIALLATE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103664","150","METRIBUZIN","MÉTRIBUZINE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103665","208","METOLACHLOR","MÉTOLACHLORE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103666","3331","DICLOFOP-METHYL","DICLOFOP-MÉTHYLE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103667","3332","BENZOYLPROP-ETHYL","BENZOYLPROP-ÉTHYLE","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3003","ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD."
"103760","3079","IMAZETHAPYR","IMAZÉTHAPYR","HERBICIDES","HERBICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3002","ANALYSIS OF ACIDIC HERBICIDES IN WATER USING GC-MSD.","ANALYSE D'HERBICIDES ACIDES DANS L'EAU PAR GC-MSD."
"104788","864","TURBIDITY","TURBIDITÉ","PHYSICAL","PHYSIQUE","NTU","NEPHELOMETRIC TURBIDITY UNIT","UNITÉ DE TURBIDITÉ NÉPHÉLOMÉTRIQUE","2752","TURBIDITY IS DETERMINED BY COMPARISON OF LIGHT OF SAMPLE AND STANDARD.","LA TURBIDITÉ EST DÉTERMINÉE PAR COMPARAISON DE LA LUMIÈRE DE L'ÉCHANTILLON PAR RAPPORT À UN STANDARD."
"106207","1022","DIBROM OR NALED","DIBROME OU NALED","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3357","ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).","LES PESTICIDES ORGANOPHOSPHATÉS SONT ANALYSÉS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLÉE À UN SPECTROMÈTRE DE MASSE (CG-SM."
"106208","172","PHORATE","PHORATE","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3357","ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).","LES PESTICIDES ORGANOPHOSPHATÉS SONT ANALYSÉS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLÉE À UN SPECTROMÈTRE DE MASSE (CG-SM."
"106209","234","DIMETHOATE OR PHOSPHAMIDE","DIMÉTHOATE OU PHOSPHAMIDE","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3357","ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).","LES PESTICIDES ORGANOPHOSPHATÉS SONT ANALYSÉS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLÉE À UN SPECTROMÈTRE DE MASSE (CG-SM."
"106210","1023","TERBUFOS","TERBUFOS","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3357","ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).","LES PESTICIDES ORGANOPHOSPHATÉS SONT ANALYSÉS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLÉE À UN SPECTROMÈTRE DE MASSE (CG-SM."
"106211","326","FONOFOS","FONOFOS","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3357","ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).","LES PESTICIDES ORGANOPHOSPHATÉS SONT ANALYSÉS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLÉE À UN SPECTROMÈTRE DE MASSE (CG-SM."
"106212","189","DIAZINON","DIAZINON","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3357","ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).","LES PESTICIDES ORGANOPHOSPHATÉS SONT ANALYSÉS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLÉE À UN SPECTROMÈTRE DE MASSE (CG-SM."
"106213","174","DISULFOTON","DISULFOTON","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3357","ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).","LES PESTICIDES ORGANOPHOSPHATÉS SONT ANALYSÉS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLÉE À UN SPECTROMÈTRE DE MASSE (CG-SM."
"106214","98","MALATHION","MALATHION","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3357","ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).","LES PESTICIDES ORGANOPHOSPHATÉS SONT ANALYSÉS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLÉE À UN SPECTROMÈTRE DE MASSE (CG-SM."
"106215","1024","DURSBAN OR CHLOPYRIFOS","DURSBAN OU CHLOPYRIFOS","PESTICIDES","PESTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","3357","ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).","LES PESTICIDES ORGANOPHOSPHATÉS SONT ANALYSÉS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLÉE À UN SPECTROMÈTRE DE MASSE (CG-SM."
